title	group
"Arabidopsis thaliana transcription factors bZIP19 and bZIP23 regulate the adaptation to zinc deficiency"	./data
"Comparison of two ecotypes of the metal hyperaccumulator Thlaspi caerulescens (J. & C. PRESL) at the transcriptional level"	./data
"Genetic analysis identifies quantitative trait loci controlling rosette mineral concentrations in Arabidopsis thaliana under drought"	./data
"What has natural variation taught us about plant development, physiology, and adaptation?"	./data
"A strong effect of growth medium and organ type on the identification of QTLs for phytate and mineral concentrations in three arabidopsis thaliana RIL populations"	./data
"Activity of the AtMRP3 promoter in transgenic Arabidopsis thaliana and Nicotiana tabacum plants is increased by cadmium, nickel, arsenic, cobalt and lead but not by zinc and iron"	./data
"Functional characterization of NRAMP3 and NRAMP4 from the metal hyperaccumulator Thlaspi caerulescens"	./data
"Identification and functional analysis of two ZIP metal transporters of the hyperaccumulator Thlaspi caerulescens"	./data
"Mapping QTLs for mineral accumulation and shoot dry biomass under different Zn nutritional conditions in Chinese cabbage (Brassica rapa L. ssp. pekinensis)"	./data
"The impact of the absence of aliphatic glucosinolates on insect herbivory in Arabidopsis"	./data
"Arabidopsis thaliana and Thlaspi caerulescens respond comparably to low zinc supply"	./data
"Expression differences for genes involved in lignin, glutathione and sulphate metabolism in response to cadmium in Arabidopsis thaliana and the related Zn/Cd-hyperaccumulator Thlaspi caerulescens"	./data
"Functional ecological genomics to demonstrate general and specific responses to abiotic stress"	./data
"Energetic and metabolic consequences of aerobic and an-aerobic ATP-production"	./data
"Isolation of Zn-responsive genes from two accessions of the hyperaccumulator plant Thlaspi caerulescens"	./data
"Characterization of natural variation for zinc, iron and manganese accumulation and zinc exposure response in Brassica rapa L."	./data
"Large expression differences in genes for iron and zinc homeostasis, stress response, and lignin biosynthesis distinguish roots of Arabidopsis thaliana and the related metal hyperaccumulator Thlaspi caerulescens"	./data
"QTL analysis of cadmium and zinc accumulation in the heavy metal hyperaccumulator Thlaspi caerulescens"	./data
"The heavy metal hyperaccumulator Thlaspi caerulescens expresses many species-specific genes, as identified by comparative expressed sequence tag analysis"	./data
"Comparative transcriptomics - Model species lead the way"	./data
"Progress in the genetic understanding of plant iron and zinc nutrition"	./data
"Construction of a genetic linkage map of Thlaspi caerulescens and quantitative trait loci analysis of zinc accumulation"	./data
"Altered photosynthetic performance of a natural Arabidopsis accession is associated with atrazine resistance"	./data
"Transcription profiling of the metal-hyperaccumulator Thlaspi caerulescens (J. & C. PRESL)"	./data
"Natural variation and QTL analysis for cationic mineral content in seeds of Arabidopsis thaliana"	./data
"Low frequency of T-DNA based activation tagging in Arabidopsis is correlated with methylation of CaMV 35S enhancer sequences"	./data
"Thlaspi caerulescens, an attractive model species to study heavy metal hyperaccumulation in plants"	./data
"What drives plant stress genes?"	./data
"Elevated expression of metal transporter genes in three accessions of the metal hyperaccumulator Thlaspi caerulescens"	./data
"ANTHOCYANINLESS2, a homeobox gene affecting anthocyanin distribution and root development in arabidopsis"	./data
"Arabidopsis STERILE APETALA, a multifunctional gene regulating inflorescence, flower, and ovule development"	./data
"Intragenic recombination and diversifying selection contribute to the evolution of downy mildew resistance at the RPP8 locus of arabidopsis"	./data
"Transposon tagging with the En-I system."	./data
"Identification of R-gene homologous DNA fragments genetically linked to disease resistance loci in Arabidopsis thaliana"	./data
"The Arabidopsis MALE STERILITY 2 protein shares similarity with reductases in elongation/condensation complexes"	./data
"Molecular characterization of the CER1 gene of Arabidopsis involved in epicuticular wax biosynthesis and pollen fertility"	./data
"A two-element Enhancer-Inhibitor transposon system in Arabidopsis thaliana"	./data
"Transposon tagging of a male sterility gene in Arabidopsis"	./data
"Analysis of toxic amyloid fibril interactions at natively derived membranes by ellipsometry"	./data
"Reciprocity and resilience: Teaching and learning sustainable social enterprise through gaming"	./data
"Quantification of Ligand Binding to G-Protein Coupled Receptors on Cell Membranes by Ellipsometry"	./data
"Chloroplast envelope protein targeting fidelity is independent of cytosolic components in dual organelle assays"	./data
"Alternative splicing of the auxin biosynthesis gene YUCCA4 determines its subcellular compartmentation"	./data
"Analysis of protein interactions at native chloroplast membranes by ellipsometry"	./data
"Chaperone receptors: Guiding proteins to intracellular compartments"	./data
"OEP61 is a chaperone receptor at the plastid outer envelope"	./data
"Study of receptor-chaperone interactions using the optical technique of spectroscopic ellipsometry"	./data
"Tail-anchored membrane proteins: Exploring the complex diversity of tail-anchored-protein targeting in plant cells"	./data
"Subcellular distribution of tail-anchored proteins in arabidopsis"	./data
"Post-translational integration of tail-anchored proteins is facilitated by defined molecular chaperones"	./data
"Tail-anchored protein biosynthesis at the endoplasmic reticulum: The same but different"	./data
"Signal recognition particle mediates post-translational targeting in eukaryotes"	./data
"Membrane topology and sequence requirements for oil body targeting of oleosin"	./data
"Tail-anchored and signal-anchored proteins utilize overlapping pathways during membrane insertion"	./data
"Membrane protein topology of oleosin is constrained by its long hydrophobic domain"	./data
"Glycoprotein folding in the endoplasmic reticulum: A tale of three chaperones?"	./data
"Role of the proline knot motif in oleosin endoplasmic reticulum topology and oil body targeting"	./data
"Transcriptome diversity among rice root types during asymbiosis and interaction with arbuscular mycorrhizal fungi"	./data
"The maize (Zea mays ssp. mays var. B73) genome encodes 33 members of the purple acid phosphatase family"	./data
"Exosomes secreted by nematode parasites transfer small RNAs to mammalian cells and modulate innate immunity"	./data
"Global analyses of the effect of different cellular contexts on microRNA targeting"	./data
"The miR-155-PU.1 axis acts on Pax5 to enable efficient terminal B cell differentiation"	./data
"A practical guide to sequencing genomes and transcriptomes"	./data
"microRNA-22 Promotes Heart Failure through Coordinate Suppression of PPAR/ERR-Nuclear Hormone Receptor Transcription"	./data
"Identification of Male Gametogenesis Expressed Genes from the Scallop Nodipecten subnodosus by Suppressive Subtraction Hybridization and Pyrosequencing"	./data
"Kraken: A set of tools for quality control and analysis of high-throughput sequence data"	./data
"The RNAi machinery regulates growth and development in the filamentous fungus Trichoderma atroviride"	./data
"Enhanced susceptibility to citrobacter rodentium infection in microRNA-155-Deficient mice"	./data
"Post-developmental microRNA expression is required for normal physiology, and regulates aging in parallel to insulin/IGF-1 signaling in C. elegans"	./data
"MiR-25 regulates Wwp2 and Fbxw7 and promotes reprogramming of mouse fibroblast cells to iPSCs"	./data
"Large-scale identification of microRNA targets in murine Dgcr8-deficient embryonic stem cell lines"	./data
"Targeted deletion of MicroRNA-22 promotes stress-induced cardiac dilation and contractile dysfunction"	./data
"Extent, causes, and consequences of small RNA expression variation in human adipose tissue"	./data
"Using MCL to extract clusters from networks"	./data
"MiR-124 acts through CoREST to control onset of Sema3A sensitivity in navigating retinal growth cones"	./data
"The endonuclease activity of Mili fuels piRNA amplification that silences LINE1 elements"	./data
"Messenger RNA and microRNA profiling during early mouse EB formation"	./data
"Theoretical and empirical quality assessment of transcription factor-binding motifs"	./data
"Combined agonist-antagonist genome-wide functional screening identifies broadly active antiviral microRNAs"	./data
"The miR-144/451 locus is required for erythroid homeostasis"	./data
"Malignant Germ Cell Tumors Display Common MicroRNA Profiles Resulting in Global Changes in Expression of Messenger RNA Targets"	./data
"Efficient inhibition of miR-155 function in vivo by peptide nucleic acids"	./data
"An ENU-induced mutation of miR-96 associated with progressive hearing loss in mice"	./data
"Zebrafish miR-1 and miR-133 shape muscle gene expression and regulate sarcomeric actin organization"	./data
"Detecting microRNA binding and siRNA off-target effects from expression data"	./data
"GeConT 2: gene context analysis for orthologous proteins, conserved domains and metabolic pathways."	./data
"RegulonDB (version 6.0): Gene regulation model of Escherichia coli K-12 beyond transcription, active (experimental) annotated promoters and Textpresso navigation"	./data
"microRNA-155 Regulates the Generation of Immunoglobulin Class-Switched Plasma Cells"	./data
"Diminished redundancy of outer membrane factor proteins in Rhizobiales: A nodT homolog is essential for free-living Rhizobium etli"	./data
"A complete set of flagellar genes acquired by horizontal transfer coexists with the endogenous flagellar system in Rhodobacter sphaeroides"	./data
"Identification of bacteria riboswitches through comparative genomics "	./data
"RibEx: A web server for locating riboswitches and other conserved bacterial regulatory elements"	./data
"Conserved regulatory motifs in bacteria: Riboswitches and beyond"	./data
"GeConT: Gene context analysis"	./data
"Conservation of DNA curvature signals in regulatory regions of prokaryotic genes"	./data
"In vitro clonal propagation and regeneration of the commercially important plant Mexican oregano (Lippia graveolens)"	./data
"Architecture and evolution of a minute plant genome"	./data
"A specific variant of the PHR1 binding site is highly enriched in the Arabidopsis phosphate-responsive phospholipase DZ2 coexpression network."	./data
"A specific variant of the PHR1 binding site is highly enriched in the Arabidopsis phosphate-responsive phospholipase DZ2 coexpression network"	./data
"Functional analysis of the Arabidopsis PLDZ2 promoter reveals an evolutionarily conserved low-Pi-responsive transcriptional enhancer element"	./data
"The genome of Tetranychus urticae reveals herbivorous pest adaptations"	./data
"Effect of light quality and culture medium on somatic embryogenesis of Agave tequilana Weber var. Azul"	./data
"Transgenic Paulownia elongata S. Y. Hu plants using biolistic-mediated transformation"	./data
"Structural relationships between diverse cis-acting elements are critical for the functional properties of a rbcS minimal light regulatory unit"	./data
"Novel signals for plant development"	./data
"Sugar and ABA responsiveness of a minimal RBCS light-responsive unit is mediated by direct binding of ABI4"	./data
"A radioisotopic study of the entry of calcium ion into the maize kernel during nixtamalization"	./data
"Transgenic manipulation of plant embryo sacs tracked through cell-type-specific fluorescent markers: Cell labeling, cell ablation, and adventitious embryos"	./data
"Modified vacuole phenotype1 is an arabidopsis myrosinase-associated protein involved in endomembrane protein trafficking"	./data
"Whole-organism screening: plants."	./data
"Development of high speed confocal screening capability for detecting sub-cellular phenotypes in arabidopsis seedlings"	./data
"Tools to Study Plant Organelle Biogenesis. Point Mutation Lines with Disrupted Vacuoles and High-Speed Confocal Screening of Green Fluorescent Protein-Tagged Organelles"	./data
"Auxin import and local auxin biosynthesis are required for mitotic divisions, cell expansion and cell specification during female gametophyte development in Arabidopsis thaliana"	./data
"An intellectual property sharing initiative in agricultural biotechnology: Development of broadly accessible technologies for plant transformation"	./data
"Arabidopsis thaliana GEX1 has dual functions in gametophyte development and early embryogenesis"	./data
"Pattern formation in miniature: The female gametophyte of flowering plants"	./data
"Auxin-dependent patterning and gamete specification in the Arabidopsis female gametophyte"	./data
"GEX3, expressed in the male gametophyte and in the egg cell of Arabidopsis thaliana, is essential for micropylar pollen tube guidance and plays a role during early embryogenesis"	./data
"Spatial and temporal expression of the response regulators ARR22 and ARR24 in Arabidopsis thaliana"	./data
"Myo-Inositol oxygenase is required for responses to low energy conditions in Arabidopsis thaliana"	./data
"The Arabidopsis thaliana myo-inositol 1-phosphate synthase1 gene is required for myo-inositol synthesis and suppression of cell death"	./data
"Disparity in allosteric interactions of monastrol with Eg5 in the presence of ADP and ATP: A difference FT-IR investigation"	./data
"CRISPR/Cas9-mediated viral interference in plants"	./data
"Efficient fdCas9 synthetic endonuclease with improved specificity for precise genome engineering"	./data
"RNA-guided transcriptional regulation in planta via synthetic dCas9-based transcription factors"	./data
"Transcription activator-like effector nucleases mediated metabolic engineering for enhanced fatty acids production in Saccharomyces cerevisiae"	./data
"Efficient Virus-Mediated Genome Editing in Plants Using the CRISPR/Cas9 System"	./data
"Release of SOS2 kinase from sequestration with GIGANTEA determines salt tolerance in Arabidopsis"	./data
"Role of HKT1 in thellungiella salsuginea, a model extremophile plant"	./data
"Characterization and DNA-binding specificities of Ralstonia TAL-like effectors"	./data
"TsHKT1;2, a HKT1 homolog from the extremophile arabidopsis relative Thellungiella salsuginea, shows K + specificity in the presence of NaCl"	./data
"Heat shock transcription factors involved in seed desiccation tolerance and longevity retard vegetative senescence in transgenic tobacco"	./data
"Co-overexpression of two Heat Shock Factors results in enhanced seed longevity and in synergistic effects on seedling tolerance to severe dehydration and oxidative stress"	./data
"A passive repression mechanism that hinders synergic transcriptional activation by heat shock factors involved in sunflower seed longevity"	./data
"Protection of the Photosynthetic Apparatus from Extreme Dehydration and Oxidative Stress in Seedlings of Transgenic Tobacco"	./data
"Repression by an auxin/indole acetic acid protein connects auxin signaling with heat shock factormediated seed longevity"	./data
"Loss of function of the HSFA9 seed longevity program"	./data
"The HaDREB2 transcription factor enhances basal thermotolerance and longevity of seeds through functional interaction with HaHSFA9"	./data
"The ectopic overexpression of a seed-specific transcription factor, HaHSFA9, confers tolerance to severe dehydration in vegetative organs"	./data
"Distinct heat-shock element arrangements that mediate the heat shock, but not the late-embryogenesis induction of small heat-shock proteins, correlate with promoter activation in root-knot nematode feeding cells"	./data
"Improved resistance to controlled deterioration in transgenic seeds"	./data
"Functional interaction between two transcription factors involved in the developmental regulation of a small heat stress protein gene promoter"	./data
"Induction of the Hahsp17.7G4 Promoter by Root-Knot Nematodes: Involvement of Heat-Shock Elements in Promoter Activity in Giant Cells"	./data
"A seed-specific heat-shock transcription factor involved in developmental regulation during embryogenesis in sunflower"	./data
"Hahb-4, a homeobox-leucine zipper gene potentially involved in abscisic acid-dependent responses to water stress in sunflower"	./data
"Reversible heat-induced inactivation of chimeric β-glucuronidase in transgenic plants"	./data
"Selective activation of the developmentally regulated Ha hsp17.6 G1 promoter by heat stress transcription factors"	./data
"Transcriptional activation of a heat shock gene promoter in sunflower embryos: Synergism between ABI3 and heat shock factors"	./data
"An imperfect heat shock element and different upstream sequences are required for the seed-specific expression of a small heat shock protein gene"	./data
"Seed-specific expression patterns and regulation by ABI3 of an unusual late embryogenesis-abundant gene in sunflower"	./data
"Dual regulation of a heat shock promoter during embryogenesis: Stage-dependent role of heat shock elements"	./data
"A plant small heat shock protein gene expressed during zygotic embryogenesis but noninducible by heat stress"	./data
"Differential regulation of small heat-shock genes in plants: Analysis of a water-stress-inducible and developmentally activated sunflower promoter"	./data
"Constitutive expression of small heat shock proteins in vegetative tissues of the resurrection plant Craterostigma plantagineum"	./data
"Differential accumulation of sunflower tetraubiquitin mRNAs during zygotic embryogenesis and developmental regulation of their heat-shock response"	./data
"Expression of sunflower low-molecular-weight heat-shock proteins during embryogenesis and persistence after germination: localization and possible functional implications"	./data
"Tissue-specific expression of sunflower heat shock proteins in response to water stress"	./data
"Developmental and environmental concurrent expression of sunflower dry-seed-stored low-molecular-weight heat-shock protein and Lea mRNAs"	./data
"Molecular analysis of a phylogenetically conserved carrot gene: Developmental and environmental regulation"	./data
"Detection of c-K-ras mutations in fine needle aspirates from human pancreatic adenocarcinomas"	./data
"A sunflower helianthinin gene upstream sequence ensemble contains an enhancer and sites of nuclear protein interaction."	./data
"Most human carcinomas of the exocrine pancreas contain mutant c-K-ras genes"	./data
"Activated ras genes in pulmonary carcinoma"	./data
"High incidence of c-K-ras oncogenes in human colon cancer detected by the RNAse A mismatch cleavage method"	./data
"The c-K-ras gene and human cancer. (review)"	./data
"Detection of high incidence of K-ras oncogenes during human colon tumorigenesis"	./data
"A method to detect and characterize point mutations in transcribed genes: Amplification and overexpression of the mutant cKi-ras allele in human tumor cells"	./data
"Two-component elements mediate interactions between cytokinin and salicylic acid in plant immunity"	./data
"Cytokinin signaling and transcriptional networks"	./data
"Environmental perception avenues: The interaction of cytokinin and environmental response pathways"	./data
"Regulation of ethylene biosynthesis"	./data
"The Arabidopsis histidine phosphotransfer proteins are redundant positive regulators of cytokinin signaling"	./data
"RCN1-regulated phosphatase activity and EIN2 modulate hypocotyl gravitropism by a mechanism that does not require ethylene signaling"	./data
"The Xenopus oocyte cut-open vaseline gap voltage-clamp technique with fluorometry"	./data
"The Xenopus oocyte cut-open vaseline gap voltage-clamp technique with fluorometry."	./data
"Excision of plastid marker genes using directly repeated DNA sequences"	./data
"Stable plastid transformation of petunia"	./data
"Transgenic approaches to altering carbon and nitrogen partitioning in whole plants: Assessing the potential to improve crop yields and nutritional quality"	./data
"Arabidopsis type i proton-pumping pyrophosphatase expresses strongly in phloem, where it is required for pyrophosphate metabolism and photosynthate partitioning"	./data
"Dynamic mechanical analysis, surface chemistry and morphology of alkali and enzymatic retted kenaf fibers"	./data
"Effect of kenaf fiber age on PLLA composite properties"	./data
"Expression of sucrose transporter cDNAs specifically in companion cells enhances phloem loading and long-distance transport of sucrose but leads to an inhibition of growth and the perception of a phosphate limitation"	./data
"Effects of chemical versus enzymatic processing of kenaf fibers on poly(hydroxybutyrate-co-valerate)/poly(butylene adipate-co-terephthalate) composite properties"	./data
"Metabolic engineering of raffinose-family oligosaccharides in the phloem reveals alterations in carbon partitioning and enhances resistance to green peach aphid"	./data
"Investigation of the bacterial retting community of kenaf (Hibiscus cannabinus) under different conditions using next-generation semiconductor sequencing"	./data
"Overexpression of ft in cotton affects architecture but not floral organogenesis"	./data
"Overexpression of FT in cotton affects architecture but not floral organogenesis."	./data
"Geminivirus-mediated delivery of florigen promotes determinate growth in aerial organs and uncouples flowering from photoperiod in cotton."	./data
"Manipulating plant architecture with members of the CETS gene family"	./data
"Genetic manipulation of a vacuolar H+-PPase: From salt tolerance to yield enhancement under phosphorus-deficient soils"	./data
"The origin and composition of cucurbit Phloem exudate"	./data
"Overexpression of fatty acid amide hydrolase induces early flowering in Arabidopsis thaliana"	./data
"Bio-composites of Sesbania herbacea plant fibers/polyvinyl alcohol (PVA): Effect of chemical retting"	./data
"TREHALOSE PHOSPHATE SYNTHASE11-dependent trehalose metabolism promotes Arabidopsis thaliana defense against the phloem-feeding insect Myzus persicae"	./data
"Membrane-transport systems for sucrose in relation to whole-plant carbon partitioning"	./data
"A cytochrome P450 monooxygenase commonly used for negative selection in transgenic plants causes growth anomalies by disrupting brassinosteroid signaling"	./data
"Arabidopsis plants harbouring a mutation in AtSUC2, encoding the predominant sucrose/proton symporter necessary for efficient phloem transport, are able to complete their life cycle and produce viable seed"	./data
"Viscoelastic properties of kenaf bast fiber in relation to stem age"	./data
"Effective carbon partitioning driven by exotic phloem-specific regulatory elements fused to the Arabidopsis thaliana AtSUC2 sucrose-proton symporter gene"	./data
"Expression of genes associated with carbohydrate metabolism in cotton stems and roots"	./data
"A DNA element between At4g28630 and At4g28640 confers companion-cell specific expression following the sink-to-source transition in mature minor vein phloem"	./data
"Functional characterization of the Arabidopsis AtSUC2 sucrose/H+ symporter by tissue-specific complementation reveals an essential role in phloem loading but not in long-distance transport"	./data
"Reduced oil accumulation in cottonseeds transformed with a Brassica nonfunctional allele of a delta-12 fatty acid desaturase (FAD2)"	./data
"Pathways and Mechanisms of Phloem Loading"	./data
"Graft transmission of a floral stimulant derived from Constans"	./data
"Functional and Phylogenetic Analyses of a Conserved Regulatory Program in the Phloem of Minor Veins"	./data
"Symplastic continuity between companion cells and the translocation stream: Long-distance transport is controlled by retention and retrieval mechanisms in the phloem"	./data
"Optimization of trans-splicing ribozyme efficiency and specificity by in vivo genetic selection."	./data
"Identification of phloem involved in assimilate loading in leaves by the activity of the galactinol synthase promoter"	./data
"Design of highly specific cytotoxins by using trans-splicing ribozymes"	./data
"Trans-splicing ribozymes for targeted gene delivery"	./data
"Low-light image analysis of transgenic organisms using bacterial luciferase as a marker."	./data
"Base-pair substitutions alter the site-specific mutagenicity of UV and MNNG in the SUP4-o gene of yeast"	./data
"Improvement in saccharification yield of mixed rumen enzymes by identification of recalcitrant cell wall constituents using enzyme fingerprinting"	./data
"Formulation of enzyme blends to maximize the hydrolysis of alkaline peroxide pretreated alfalfa hay and barley straw by rumen enzymes and commercial cellulases"	./data
"Expression of a fungal ferulic acid esterase in alfalfa modifies cell wall digestibility"	./data
"Proteomic Profiling of the Aleurone Layer of Mature Arabidopsis thaliana Seed"	./data
"Development of cellulosic secondary walls in flax fibers requires β-galactosidase"	./data
"Purification of the alkaliphilic xylanases from Myceliophthora sp. IMI 387099 using cellulose-binding domain as an affinity tag"	./data
"Identification of glucose tolerant acid active β-glucosidases from thermophilic and thermotolerant fungi"	./data
"Role of transglycosylation products in the expression of multiple xylanases in Myceliophthora sp. IMI 387099"	./data
"Production of multiple xylanolytic and cellulolytic enzymes by thermophilic fungus Myceliophthora sp. IMI 387099"	./data
"Functionally diverse multiple xylanases of thermophilic fungus Myceliophthora sp. IMI 387099"	./data
"Proteasome targeting of proteins in Arabidopsis leaf mesophyll, epidermal and vascular tissues"	./data
"A long photoperiod relaxes energy management in Arabidopsis leaf six"	./data
"The KnownLeaf literature curation system captures knowledge about Arabidopsis leaf growth and development and facilitates integrated data mining"	./data
"Large-scale proteomics of the cassava storage root and identification of a target gene to reduce postharvest deterioration"	./data
"Arabidopsis proteomics: A simple and standardizable workflow for quantitative proteome characterization"	./data
"Protein abundance changes and ubiquitylation targets identified after inhibition of the proteasome with Syringolin A"	./data
"Arabidopsis proteomics: A simple and standardizable workflow for quantitative proteome characterization"	./data
"Common and specific protein accumulation patterns in different albino/pale-green mutants reveals regulon organization at the proteome level"	./data
"Systems-based analysis of Arabidopsis leaf growth reveals adaptation to water deficit"	./data
"pep2pro: The high-throughput proteomics data processing, analysis, and visualization tool"	./data
"The HUPO initiative on Model Organism Proteomes, iMOP"	./data
"Plastid proteome assembly without Toc159: Photosynthetic protein import and accumulation of N-Acetylated plastid precursor proteins"	./data
"Comparative phosphoproteome profiling reveals a function of the STN8 kinase in fine-tuning of cyclic electron flow (CEF)"	./data
"Jasmonate controls polypeptide patterning in undamaged tissue in wounded arabidopsis leaves"	./data
"Integrated proteome and metabolite analysis of the de-etiolation process in plastids from rice (Oryza sativa L.)"	./data
"Pep2pro: A new tool for comprehensive proteome data analysis to reveal information about organ-specific proteomes in Arabidopsis thaliana"	./data
"MASCP gator: An aggregation portal for the visualization of arabidopsis proteomics data"	./data
"Large-scale arabidopsis phosphoproteome profiling reveals novel chloroplast kinase substrates and phosphorylation networks1"	./data
"Species-Dependent Proteomics: Sample Preparation and Data Processing in Plant Proteomics"	./data
"Genome-scale proteomics reveals Arabidopsis thaliana gene models and proteome dynamics"	./data
"A workflow to increase the detection rate of proteins from unsequenced organisms in high-throughput proteomics experiments"	./data
"5-Fluorouracil Is Efficiently Removed From DNA by the Base Excision and Mismatch Repair Systems"	./data
"The Mass Distance Fingerprint: A statistical framework for de novo detection of predominant modifications using high-accuracy mass spectrometry"	./data
"Persistent mismatch repair deficiency following targeted correction of hMLH1"	./data
"Characterization of the Mismatch Repairosome and Its Role in the Processing of Modified Nucleosides In Vitro"	./data
"Proteomic LC-MS analysis of Arabidopsis cytosolic ribosomes: Identification of ribosomal protein paralogs and re-annotation of the ribosomal protein genes"	./data
"Emerging roles of long non-coding RNA in root developmental plasticity and regulation of phosphate homeostasis"	./data
"Genetic mechanisms of abiotic stress tolerance that translate to crop yield stability"	./data
"Chapter 9 translating ribosome affi nity purifi cation (TRAP) followed by RNA sequencing technology (TRAP-SEQ) for quantitative assessment of plant translatomes"	./data
"Rapid immunopurification of ribonucleoprotein complexes of plants"	./data
"Ribosome profiling: A tool for quantitative evaluation of dynamics in mRNA translation"	./data
"Flood adaptive traits and processes: An overview"	./data
"Plant tolerance of flooding stress - recent advances"	./data
"Selective mRNA sequestration by OLIGOURIDYLATEBINDING PROTEIN 1 contributes to translational control during hypoxia in Arabidopsis"	./data
"Translational dynamics revealed by genome-wide profiling of ribosome footprints in Arabidopsis"	./data
"Hairy root transformation using Agrobacterium rhizogenes as a tool for exploring cell type-specific gene expression and function using tomato as a model"	./data
"Selective mRNA translation tailors low oxygen energetics"	./data
"Plant tolerance of flooding stress - recent advances"	./data
"Characterization of distinct root and shoot responses to low-oxygen stress in Arabidopsis with a focus on primary C- and N-metabolism"	./data
"A Trihelix DNA Binding Protein Counterbalances Hypoxia-Responsive Transcriptional Activation in Arabidopsis"	./data
"Profiling of translatomes of in vivo-grown pollen tubes reveals genes with roles in micropylar guidance during pollination in Arabidopsis"	./data
"Two Rumex species from contrasting hydrological niches regulate flooding tolerance through distinct mechanisms"	./data
"Flooding tolerance: O2 sensing and survival strategies"	./data
"Linking genes of unknown function with abiotic stress responses by high-throughput phenotype screening"	./data
"Cold shock protein 1 chaperones mRNAs during translation in Arabidopsis thaliana"	./data
"Microgenomics: Genome-scale, cell-specific monitoring of multiple gene regulation tiers"	./data
"Comparison of GC-MS and NMR for metabolite profiling of rice subjected to submergence stress"	./data
"Isolation and analysis of mrnas from specific cell types of plants by ribosome immunopuri fication"	./data
"Selective recruitment of mRNAs and miRNAs to polyribosomes in response to rhizobia infection in Medicago truncatula"	./data
"Characteristics and significance of intergenic polyadenylated RNA transcription in Arabidopsis"	./data
"The submergence tolerance gene SUB1A delays leaf senescence under prolonged darkness through hormonal regulation in rice"	./data
"Waterproofing crops: Effective flooding survival strategies"	./data
"Posttranscriptional control of photosynthetic mRNA decay under stress conditions requires 3′ and 5′ untranslated regions and correlates with differential polysome association in rice"	./data
"Dynamic light regulation of translation status in Arabidopsis thaliana"	./data
"Making sense of low oxygen sensing"	./data
"Transient MPK6 activation in response to oxygen deprivation and reoxygenation is mediated by mitochondria and aids seedling survival in Arabidopsis"	./data
"Differential metabolic regulation governed by the rice SUB1A gene during submergence stress and identification of alanylglycine by 1H NMR spectroscopy"	./data
"Homeostatic response to hypoxia is regulated by the N-end rule pathway in plants"	./data
"Expression of rice SUB1A and SUB1C transcription factors in Arabidopsis uncovers flowering inhibition as a submergence tolerance mechanism"	./data
"Natural variation of submergence tolerance among Arabidopsis thaliana accessions"	./data
"Molecular characterization of the submergence response of the Arabidopsis thaliana ecotype Columbia"	./data
