Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Ramakrishna, T., Vijayarangam, D., Sitaram, N., Pandit, M.W., Bhargava, P.M.","Apparent specificity of bovine seminal ribonucleases can depend on the conditions used for the isolation of substrate",1992,"Biochemistry International","26","1",,"125","133",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026599190&partnerID=40&md5=66f9f3eb6350fb86dfbd211fe253f804","Centre for Cellular and Molecular Biology, Hyderabad - 500 007, India","Ramakrishna, T., Centre for Cellular and Molecular Biology, Hyderabad - 500 007, India; Vijayarangam, D., Centre for Cellular and Molecular Biology, Hyderabad - 500 007, India; Sitaram, N., Centre for Cellular and Molecular Biology, Hyderabad - 500 007, India; Pandit, M.W., Centre for Cellular and Molecular Biology, Hyderabad - 500 007, India; Bhargava, P.M., Centre for Cellular and Molecular Biology, Hyderabad - 500 007, India","RNAase SPL, a ribonuclease isolated earlier from bovine seminal plasma, was shown to possess the ability to produce large acid-insoluble fragments of Mg2+-containing RNA in a limit digest. The factor which could be responsible for this apparent specificity has been identified as polyvinyl sulphate; it has been shown that polyvinyl sulphate inhibits RNAase SPL, at much lower concentrations than required for RNAase A. The earlier results are now reinterpreted based on this effect of polyvinyl sulphate, thus providing a plausible explanation for RNAase SPL's apparent specificity. RNAase SPL has been shown to be a mixture of two ribonucleases, RNAase SPL I and RNAase SPL II. RNAase SPL I is like RNAase A in its activity while RNAase SPL II, the major ribonuclease in seminal plasma, appears to be identical to RNAase BSI.",,"polymer; ribonuclease; ribonuclease a; rna; article; cattle; enzyme activity; enzyme specificity; enzyme substrate; isolation procedure; nonhuman; priority journal; seminal plasma; Amino Acid Sequence; Animal; Cattle; Chromatography, High Pressure Liquid; Endoribonucleases; Magnesium; Male; Molecular Sequence Data; Polyvinyls; RNA, Bacterial; Semen; Substrate Specificity",,"ribonuclease, 59794-03-5, 9001-99-4; RNA, 63231-63-0; Endoribonucleases, EC 3.1.-; Magnesium, 7439-95-4; polyvinyl sulfate, 25191-25-7; Polyvinyls; ribonuclease SPL, EC 3.1.27.-; RNA, Bacterial",,,,,"Pandit, M.W.; Ctr for Cellular and Mlclr Bio, Hyderabad 500 007, India",,,,,,,,01585231,,BIIND,1377468,"English","BIOCHEM. INT.",Article,Scopus,2-s2.0-0026599190
"Chitnis, S.N., Prasad, K.S.N., Bhargava, P.M.","Isolation and characterization of autolysis-defective mutants of Escherichia coli that are resistant to the lytic activity of seminalplasmin",1990,"Journal of General Microbiology","136","3",,"463","469",,13,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025272516&partnerID=40&md5=a241c68dbe4fb2f52a8ade1b8caf91da","Centre for Cellular and Molecular Biology, Hyderabad 500 007, India","Chitnis, S.N., Centre for Cellular and Molecular Biology, Hyderabad 500 007, India; Prasad, K.S.N., Centre for Cellular and Molecular Biology, Hyderabad 500 007, India; Bhargava, P.M., Centre for Cellular and Molecular Biology, Hyderabad 500 007, India","Two temperature-sensitive autolysis-defective mutants of Escherichia coli were isolated and shown to be reistant to lysis induced by seminalplasmin, an antimicrobial protein from bovine seminal plasma, as well as to lysis induced by ampicillin, D-cycloserine and nocardicin, at 37 or 42°C but not at 30°C. The mutants were, however, sensitive to inhibition of RNA synthesis by seminalplasmin even at the nonpermissive temperature. Temperature-resistant revertants of the mutants were sensitive to lysis induced by the various antibiotics at 37 or 42°C. The mutations in both strains were mapped at 58 min on the E. coli linkage map. The lysis resistance of the mutants was phenotypically suppressed by the addition of NaCl. Partial suppression of the lysis-resistant phenotype was also observed in a relA genetic background.",,"rna; article; autolysis; escherichia coli; lysis; mutant; nonhuman; priority journal; seminal plasma; Ampicillin Resistance; Antibiotics, Lactam; Autolysis; Chromosome Mapping; Comparative Study; Cycloserine; DNA Transposable Elements; Drug Resistance, Microbial; Escherichia coli; Mutation; Phenotype; Proteins; RNA, Bacterial; Sodium Chloride; Bovinae; Escherichia coli",,"Antibiotics, Lactam; caltrin; Cycloserine, 68-41-7; DNA Transposable Elements; nocardicin, 76631-42-0; Proteins; RNA, Bacterial; Sodium Chloride, 7647-14-5",,,,,,,,,,,,,00221287,,JGMIA,1697323,"English","J. GEN. MICROBIOL.",Article,Scopus,2-s2.0-0025272516
"Shivaji, S., Rao, N.S., Saisree, L., Reddy, G.S.N., Kumar, G.S., Bhargava, P.M.","Isolates of Arthrobacter from the soils of Schirmacher Oasis, Antarctica",1989,"Polar Biology","10","3",,"225","229",,48,10.1007/BF00238499,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0000557390&partnerID=40&md5=90ef1c68c8079797734c0a126f8dbfbe","Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India","Shivaji, S., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India; Rao, N.S., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India; Saisree, L., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India; Reddy, G.S.N., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India; Kumar, G.S., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India; Bhargava, P.M., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India","Thirteen isolates of bacteria from the soils of Schirmacher Oasis, Antarctica have been identified as members of the genus Arthrobacter. All the isolates exhibited a rod-coccus cycle during growth; were gram positive, catalase positive, non-motile and non-fermentative; did not form endospores; and contained MK-8 (H2) as the major menaquinone. The mole %G + C in DNA of the isolates ranged from 58% to 72%. Based on their morphology, physiology, nutritional requirements, biochemical characteristics, and mole %G + C of their DNA, the isolates were identified as A. globiformis, A. pascens and A. protophormiae. However, unlike the mesophilic isolates the Antarctic Arthrobacter could be considered to be unique as they were psychrotrophic, contained glucose and lysine in the cell wall, and did not hydrolyze starch. © 1989 Springer-Verlag.",,,,,,,,"Bailey, A.D., Wynn-Willia, D.D., Soil microbiological studies at Signy island, South Orkney islands (1982) Br Antarct Surv Bull, 51, pp. 167-191; Beji, A., Izard, D., Gavini, F., Leclerc, H., Leseine-Delstanche, M., Kremble, J., A rapid chemical procedure for isolation and purification of chromosomal DNA from gram-negative bacilli (1987) Anal Biochem, 162, pp. 18-23; Blenden, D.C., Goldberg, H.S., Silver impregnation stain for Leptospira and flagella (1965) J Bacteriol, 89, pp. 899-900; Collins, M.D., Pirouz, T., Goodfellow, M., Minnikin, D.E., Distribution of menaquinones in actinomycetes and corynebacteria (1977) J Gen Microbiol, 100, pp. 221-300; Elliott, W.H., Waller, G.R., Vitamins and cofactors (1972) Biochemical applications of mass spectrometry, pp. 499-536. , G.R., Waller, John Wiley and Sons, New York; Franzmann, P.D., Burton, H.R., McMeekin, T.A., Halomonas subglaciescola, a new species of halotolerant bacteria isolated from Antarctica (1987) International Journal of Systematic Bacteriology, 37, pp. 27-34; Holding, A.J., Collee, J.G., Routine biochemical tests (1971) Methods in microbiology, vol 6A, pp. 2-32. , J.R., Norris, D.W., Ribbons, Academic Press, New York; Hugh, R., Leifson, E., The taxonomic significance of fermentative versus oxidative metabolism of carbohydrates by various oxidative bacteria (1953) J Bacteriol, 66, pp. 24-26; Johnson, R.M., Bellinoff, R.D., A taxonomic study of a dominant coryneform bacterial type found in Antarctic soils (1981) Antarct Res Ser, 30, pp. 169-184; Johnson, R.M., Inai, M., McCarthy, S., Characteristics of cold desert Antarctic coryneform bacteria (1981) J Ariz-Nev Acad Sci, 16, pp. 51-60; Jones, D., Keddie, R.M., Genus Brevibacterium Breed 1953 (1984) Bergey's manual of systematic bacteriology, vol 2, pp. 1301-1313. , P.H.A., Sneath, N.S., Mair, M.E., Sharpe, J.G., Holt, Williams and Wilkins, Baltimore; Keddie, R.M., Jones, D., Aerobic saprophytic coryneform bacteria (1981) The prokaryotes, vol 2, pp. 1838-1878. , M.P., Starr, H., Stolp, H.G., Truper, A., Balows, H.G., Schlegel, Springer, New York; Keddie, R.M., Collins, M.D., Jones, D., Genus Arthrobacter Corn and Dimmick 1947 (1984) Bergey's manual of systematic bacteriology, vol 2, pp. 1286-1301. , P.H.A., Sneath, N.S., Mair, M.E., Sharpe, J.G., Holt, Williams and Wilkins, Baltimore; Madden, J.M., Siegel, S.K., Johnson, R.M., Taxonomy of some Antarctic Bacillus and Corynebacterium species (1979) Antarct Res Ser, 30, pp. 77-103; Marmur, J., Procedure for the isolation of deoxyribonucleic acid from microorganisms (1961) Journal of Molecular Biology, 3, pp. 208-218; Miller, J.H., Formulas and recipes (1977) Experiments in molecular genetics, pp. 431-432. , Cold Spring Harbor Laboratory, Cold Spring Harbor, New York; Miller, K.J., Leschine, S.B., A halotolerant Planococcus from Antarctic dry valley soil (1984) Curr Microbiol, 11, pp. 205-210; Ray, M.K., Shivaji, S., Shyamala Rao, N., Bhargava, P.M., Yeast strains from the Schirmacher Oasis, Antarctica (1989) Polar Biol, 9, pp. 305-309; Schildkraut, C., Liefson, S., Melting temperature of DNA and salt concentration (1965) Biopolymers, 3, pp. 195-208; Schleifer, K.H., Kandler, O., Peptidoglycan types of bacterial cell walls and their taxonomic implications (1972) Bacteriol Rev, 36, pp. 407-477; Shivaji, S., A preliminary note on the bacteria and yeast of Antarctica (1987) Department of Ocean Development, India, Techn Publ, 4, pp. 155-157; Shivaji, S., Rao, N.S., Saisree, L., Sheth, V., Reddy, G.S.N., Bhargava, P.M., Isolation and identification of Micrococcus roseus and Planococcus sp. from Schirmacher Oais (1988) Antarctica. J Biosci, 13, pp. 409-414; Shivaji, S., Rao, N.S., Saisree, L., Sheth, V., Reddy, G.S.N., Bhargava, P.M., Isolation and identification of Pseudomonas sp. from Schirmacher Oasis, Antarctica (1989) Appl Environ Microbiol, 55, pp. 767-770; Siebert, J., Hirsch, P., Characterization of 15 selected coccal bacteria isolated from Antarctic rock and soil samples from the McMurdovalley (South Victoria land) (1988) Polar Biol, 9, pp. 37-44; Stainer, R.Y., Palleroni, N.J., Doudoroff, M., The aerobic pseudomonas, a taxonomic study (1966) J Gen Microbiol, 43, pp. 159-271; Stolp, H., Gadkari, D., Nonpathogenic members of the genus Pseudomonas (1981) The prokaryotes, vol 1, pp. 719-741. , M.P., Starr, H., Stolp, H.G., Truper, A., Balows, H.G., Schlegel, Springer, Berlin; Tearle, P.V., Richard, K.J., Ecophysiological grouping of Antarctic environmental bacteria by API 20 NE and fatty acid finger prints (1987) Journal of Applied Bacteriology, 63, pp. 497-503; Walton, D.W.H., The terrestrial environment (1984) Antarctic ecology, vol 1, pp. 1-60. , R.M., Laws, Academic Press, New York; Work, E., Cell walls (1971) Methods in microbiology, pp. 361-418. , J.R., Norris, Academic Press, New York; Wynn-Willia, D.D., Distribution and characteristics of Chromobacterium in the maritime and sub-Antarctic (1983) Polar Biol, 2, pp. 101-108","Shivaji, S.; Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India",,,"Springer-Verlag",,,,,07224060,,POBID,,"English","Polar Biol",Article,Scopus,2-s2.0-0000557390
"Ray, M.K., Shivaji, S., Shyamala Rao, N., Bhargava, P.M.","Yeast strains from the Schirmacher Oasis, Antarctica",1989,"Polar Biology","9","5",,"305","309",,19,10.1007/BF00287428,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0001354183&partnerID=40&md5=7d2cb82cd472334406e41b651f7cf271","Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India","Ray, M.K., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India; Shivaji, S., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India; Shyamala Rao, N., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India; Bhargava, P.M., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India","Soil samples from the Schirmacher Oasis of Antarctica were examined for the presence of yeasts. The number of yeast cells in the samples varied between 600 and 3000 g of wet soil. Eight pure cultures were obtained. All of the eight isolates were nonfermentative and all but one was Diazonium Blue B (DBB)-positive, indicating their basidiomycetous affinity. Based on their morphology, reproductive behavior, growth at different temperatures and salt concentrations, nutritional characteristies and various biochemical tests, all the eight cultures have been identified. Three of them are red yeasts, Rhodotorula rubra, one Bullera alba, one a dimorphic, Candida humicola and one Candida famata. The remaining two cultures have been tentatively identified as Candida ingeniosa and Candida auriculariae. © 1989 Springer-Verlag.",,,,,,,,"Atlas, R.M., di Menna, M.E., Cameron, R.E., Ecological investigation of yeasts in Antarctic soils (1978) Antarct Res Ser, 30, pp. 27-34; Boyd, W.L., Rothenberg, I., Boyd, J.W., Soil microorganisms at Paradise Harbour, Antarctica (1970) Ecology, 51, pp. 1040-1045; Davenport, R.R., Cold-tolerant yeasts and yeast-like organisms (1980) Biology and activities of yeasts, pp. 215-230. , F.A., Skinner, S.M., Passmore, R.R., Davenport, Academic Press, New York; Fell, J.W., Tallman, A.S., Ahearn, D.G., Genus 10. Rhodotorula Harrison (1984) The yeasts: a toxonomic study, pp. 893-905. , N.J.W., Kreger-van Rij, Elsevier, Amsterdam; Goto, S., Sugiyama, J., Lizuka, H., Taxonomic study of Antarctic yeasts (1969) Mycologia, 61, pp. 748-774; Ingram, M., Yeasts in food spoilage (1958) The chemistry and biology of yeasts, pp. 603-633. , A.H., Cook, Academic Press, New York; Kreger-van Rij, N.J.W., (1984) The yeasts: a toxonomic study, pp. 967-998. , Elsevier, Amsterdam; McEwan, J.E., Cameron, V.L., Poyton, R.O., Rapid method for isolation and screening of Cytochrome c oxidase-deficient mutants of Saccharomyces cerevisiae (1985) J Bacteriol, 161, pp. 831-835; di Menna, M.E., Yeasts from Antarctica (1960) J Gen Microbiol, 23, pp. 295-300; di Menna, M.E., Three new yeasts from Antarctic soils: Candida nivalis, Candida gelida and Candida frigida. Antonie van Leeuwenhoek (1966) J Microbiol Serol, 32, pp. 25-28; di Menna, M.E., Yeasts in Antarctic soils. Antonie van Leeuwenhoek (1966) J Microbiol Serol, 32, pp. 29-38; Meyer, S.A., Ahearn, D.G., Yarrow, D., Genus 4. Candida Berkhout (1984) The yeasts: a taxonomic study, pp. 585-844. , N.J.W., Kreger-van Rij, Elsevier, Amsterdam; de Miranda, L.R., Genus 3. Bullera Derx (1984) The yeasts: a toxonomic study, pp. 893-905. , N.J.W., Kreger-van Rij, Elsevier, Amsterdam; Richter, W., Strauch, G., Deuterium and 18O variation in lakes of the Schirmacher Oasis (East Antarctica) (1982) Zfl-Mitteilungen, 51, pp. 55-85; Van der Walt, J.P., Yarrow, D., Methods for the isolation, maintenance, classification and identification of yeasts (1984) The yeasts: a taxonomic study, pp. 45-104. , N.J.W., Kreger-van Rij, Elsevier, Amsterdam; Vishniac, H.S., Baharaeen, S., Five new basidioblastomycetous yeast species segregated from Cryptococcus vishniaci emend. auct., an Antarctic yeast species comprising four new varieties (1982) Int J Syst Bacteriol, 32, pp. 437-445; Vishniac, H.S., Hempfling, W.P., Evidence of an indigenous microbiota (Yeast) in the dry valley of Antarctica (1979) J Gen Microbiol, 112, pp. 301-314; Walton, D.W.H., The terrestrial environment (1984) Antarctic ecology, vol 1, pp. 1-60. , R.M., Laws, Academic Press, New York; Wickerham, L.J., (1951) Taxonomy of yeasts: Tech Bull 1029, , US Dept Agr, Washington, DC; Wickerham, L.J., Burton, K.A., Carbon assimilation tests for the classification of yeasts (1948) J Bacteriol, 56, pp. 363-371","Ray, M.K.; Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad, 500 007, India",,,"Springer-Verlag",,,,,07224060,,POBID,,"English","Polar Biol",Article,Scopus,2-s2.0-0001354183
"Shivaji, S., Rao, S., Saisree, L., Sheth, V., Reddy, G.S.N., Bhargava, P.M.","Isolation and identification of Pseudomonas spp. from Schirmacher Oasis, Antarctica",1989,"Applied and Environmental Microbiology","55","3",,"767","770",,85,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024507696&partnerID=40&md5=5e09127a06d31628229e8a17a171022d","Centre for Cellular and Molecular Biology, Hyderabad 500 007, India","Shivaji, S., Centre for Cellular and Molecular Biology, Hyderabad 500 007, India; Rao, S., Centre for Cellular and Molecular Biology, Hyderabad 500 007, India; Saisree, L., Centre for Cellular and Molecular Biology, Hyderabad 500 007, India; Sheth, V., Centre for Cellular and Molecular Biology, Hyderabad 500 007, India; Reddy, G.S.N., Centre for Cellular and Molecular Biology, Hyderabad 500 007, India; Bhargava, P.M., Centre for Cellular and Molecular Biology, Hyderabad 500 007, India","Ten cultures of Pseudomonas spp. were established from soil samples collected in and around a lake in Antarctica. Based on their morphology, biochemical and physiological characteristics, and moles percent G + C of their DNA, they were identified as P. fluorescens, P. putida, and P. syringae. This is the first report on the identification of Pseudomonas spp. from continental Antarctica.",,"antarctica; bacterium identification; bacterium isolation; nonhuman; pseudomonas fluorescens; pseudomonas putida; pseudomonas syringae; Antarctic Regions; Colony Count, Microbial; Culture Media; Pseudomonas; Soil Microbiology",,"Culture Media",,,,,,,,,,,,,00992240,,AEMID,2930174,"English","APPL. ENVIRON. MICROBIOL.",Article,Scopus,2-s2.0-0024507696
"Shivaji, S., Rukmini, V., Gupta, P.D., Scheit, K.H., Bhargava, P.M.","Localization of bovine seminal plasma RNA-A BS1, on the surface of bovine spermatozoa",1989,"Cellular and Molecular Biology","35","3",,"285","291",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024452047&partnerID=40&md5=97df0954f6645e31fc25ff8defbafc0d","Centre for Cellular & Molecular Biology, Hyderabad 500 007, India","Shivaji, S., Centre for Cellular & Molecular Biology, Hyderabad 500 007, India; Rukmini, V., Centre for Cellular & Molecular Biology, Hyderabad 500 007, India; Gupta, P.D., Centre for Cellular & Molecular Biology, Hyderabad 500 007, India; Scheit, K.H., Centre for Cellular & Molecular Biology, Hyderabad 500 007, India; Bhargava, P.M., Centre for Cellular & Molecular Biology, Hyderabad 500 007, India",[No abstract available],,"ribonuclease a; animal cell; cattle; cell surface; nonhuman; seminal plasma; spermatozoon; Animal; Cattle; Endoribonucleases; Fluorescent Antibody Technique; Male; Microscopy, Electron; Sperm Head; Sperm Tail; Spermatozoa",,"Endoribonucleases, EC 3.1.-; ribonuclease SPL, EC 3.1.27.-",,,,,,,,,,,,,01455680,,CMBID,2673521,"English","CELL. MOL. BIOL.",Article,Scopus,2-s2.0-0024452047
"Srivastava, P.K., Rao, N.S., Bhargava, P.M.","A ""bit"" of the cell wall may be needed to make more of it in yeast.",1988,"Indian Journal of Biochemistry and Biophysics","25","6",,"601","604",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024150339&partnerID=40&md5=68ea54d0302a430208f76b143b37b795",,"Srivastava, P.K.; Rao, N.S.; Bhargava, P.M.",[No abstract available],,"hydrolase; zymolyase; article; cell wall; physiology; protoplast; regeneration; Saccharomyces cerevisiae; Cell Wall; Hydrolases; Protoplasts; Regeneration; Saccharomyces cerevisiae",,"hydrolase, 9027-41-2; zymolyase, 37340-57-1; Hydrolases, EC 3.; zymolyase, 37340-57-1",,,,,"Srivastava, P.K.",,,,,,,,03011208,,,3076582,"English","Indian J Biochem Biophys",Article,Scopus,2-s2.0-0024150339
"Shivaji, S., Rao, N.S., Saisree, L., Sheth, V., Reddy, G.S.N., Bhargava, P.M.","Isolation and identification of Micrococcus roseus and Planococcus sp. from schirmacher oasis, antarctica",1988,"Journal of Biosciences","13","4",,"409","414",,37,10.1007/BF02703452,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51249175490&partnerID=40&md5=d737663062d422d834b15879b55daf4c","Centre for Cellular and Molecular Biology, Hyderabad, 500 007, India","Shivaji, S., Centre for Cellular and Molecular Biology, Hyderabad, 500 007, India; Rao, N.S., Centre for Cellular and Molecular Biology, Hyderabad, 500 007, India; Saisree, L., Centre for Cellular and Molecular Biology, Hyderabad, 500 007, India; Sheth, V., Centre for Cellular and Molecular Biology, Hyderabad, 500 007, India; Reddy, G.S.N., Centre for Cellular and Molecular Biology, Hyderabad, 500 007, India; Bhargava, P.M., Centre for Cellular and Molecular Biology, Hyderabad, 500 007, India","Five cultures isolated from soil samples collected in Schirmacher oasis, Antarctica, have been identified as members of the family Micrococcaceae, with 3 belonging to the genus Micrococcus and two to Planococcus. The 3 Micrococcus isolates (37R, 45R and 49R) were red-pigmented and h a d ∼ 75 mol% G + C in their DNA; they were identified as Micrococcus roseus. The two Planococcus isolates (30Y and Lz3OR) were yellow and orange in colour, and had 43.5 and 40.9 mol % G + C in their DNA respectively; they were identified as Planococcus sp. © 1988 Indian Academy of Sciences.","Antarctica; Micrococcus; Planococcus; Schirmacher; taxonomy",,,,,,,"Blenden, D.C., Goldberg, H.S., (1965) J. Bacteriol., 89, p. 899; Franzmann, P.D., Burton, H.R., McMeekin, T.A., Halomonas subglaciescola, a New Species of Halotolerant Bacteria Isolated from Antarctica (1987) International Journal of Systematic Bacteriology, 37, p. 27; Holding, A.J., Collee, J.G., (1971) Methods Microbiol., 6 A, p. 2; Hugh, R., Leifson, E., (1953) J. Bacteriol., 66, p. 24; Johnson, R.M., Bellinoff, R.D., (1981) Terr. Biol. III Antarct Res. Ser., 30, p. 169; Johnson, R.M., Inai, M., McCarthy, S., (1981) J. Ariz. Acad. Sci., 16, p. 51; Kocur, M., (1984) Bergeys Man. Syst. Bacteriol., 2, p. 1004; Kocur, M., (1984) Bergeys Man. Syst. Bacteriol., 2, p. 1011; Kocur, M., Schleifer, K.H., (1981) Prokaryotes, 2, p. 1570; Madden, J.M., Siegel, S.K., Johnson, R.M., (1979) Terr. Biol. III Antarct. Res. Ser., 30, p. 77; Marmur, J., A procedure for the isolation of deoxyribonucleic acid from micro-organisms (1961) Journal of Molecular Biology, 3, p. 208; McGuire, A.J., Franzmann, P.D., McMeekin, T.A., Flectobacillus glomeratus sp. nov., a Curved, Nonmotile, Pigmented Bacterium Isolated from Antarctic Marine Environments (1987) Systematic and Applied Microbiology, 9, p. 265; Miller, J.H., (1977) Experiments in molecular genetics, p. 431. , Cold Spring Harbor Laboratory, New Delhi; Miller, K.J., Leschine, S.B., (1984) Curr. Microbiol., 11, p. 205; Rees, G.N., Janssen, P.H., Harfoot, C.G., (1986) FEMS Microbiol. Lett., 37, p. 363; Schildkraut, C., Lifson, S., (1965) Biopolymers, 3, p. 195; Schleifer, K.H., (1984) Bergey’s Man. Syst. Bacteriol., 2, p. 1003; Schleifer, K.H., Kloos, W.E., Kocur, M., (1981) Prokaryotes, 2, p. 1539; Stainer, R.Y., Palleroni, N.J., Doudoroff, M., The Aerobic Pseudomonads a Taxonomic Study (1966) Journal of General Microbiology, 43, p. 159; Stolp, H., Gadkari, D., (1981) Prokaryotes, 1, p. 719; Tearle, P.V., Richard, K.J., Ecophysiological grouping of Antarctic environmental bacteria by API 20 NE and fatty acid fingerprints (1987) Journal of Applied Bacteriology, 63, p. 497; Walton, D.W.H., (1983) Antarct. Ecol., 1, p. 1; Work, W., (1971) Methods Microbiol., 5 A, p. 361; Wynn-Willia, D.D., (1983) Polar Biol., 2, p. 101","Shivaji, S.; Centre for Cellular and Molecular Biology, Hyderabad, 500 007, India",,,"Springer India",,,,,02505991,,JOBSD,,"English","J Biosci",Article,Scopus,2-s2.0-51249175490
"Bhargava, P.M., Chandani, S.A.","Regulation of cell division and malignant transformation",1988,"Bioscience Reports","8","6",,"519","529",,2,10.1007/BF01117330,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024238858&partnerID=40&md5=0b72f1b06a44de95c8b75a738e28e8e3","Centre for Cellular and Molecular Biology, Hyderabad, 500 007, India","Bhargava, P.M., Centre for Cellular and Molecular Biology, Hyderabad, 500 007, India; Chandani, S.A., Centre for Cellular and Molecular Biology, Hyderabad, 500 007, India","The problem of regulation of cell division is essentially a problem of understanding regulation of transition from the resting state of a cell to the dividing state and vice versa. In malignancy the ability to revert back to a normal resting state is impaired. A model is presented which attempts to explain the control of the above transitions through control of uptake of essential nutrients by a transport-inhibitory protein. Experimental evidence in favour of the model is given. © 1988 Plenum Publishing Corporation.","cell division; malignancy; nutrient uptake; resting state; transformation","cell cycle; cell division; cell metabolism; malignant transformation; nonhuman; nutrient; regulatory mechanism; short survey; Animal; Cell Division; Cell Transformation, Neoplastic; Interphase; Liver; Liver Neoplasms, Experimental; Models, Biological; Neoplasm Proteins; Proteins; Rats",,"Neoplasm Proteins; Proteins",,,,"Bhargava, P.M., (1977) J. Theor. Biol., 68, pp. 101-137; Bhargava, P.M., Dwarakanath, V.N., Prasad, K.S.N., (1978) Cellul. Mol. Biol., 25, pp. 85-94; Bhargava, P.M., (1983) Curr. Sci., 52, pp. 199-205; Bhargava, P.M., Chandani, S.A., (1984) Symposia Biologica Hungarica, 26, pp. 253-268; Bhargava, P.M., Chandani, S.A., (1985) J. Biosci. (Proc. Int. Symp. Biomol. Struct. Interactions, 8, pp. 329-342; Bishop, J.M., (1985) Trends in Genet., 1, pp. 245-249; Chavrier, P., Zerial, M., Lemaire, P., Almendral, J., Bravo, R., Charnay, P., (1988) EMBO J., 7, pp. 29-35; Hanley, M.R., (1988) Neuron, 1, pp. 175-182; Ninomiya-Tsuiji, J., Ishibashi, S., Ide, T., (1987) Cancer Res., 47, pp. 6028-6032; Wynford-Thomas, D., Martin, G., La Montagne, A., Prescott, D.M., (1985) Exp Cell. Res, 158, pp. 276-279","Bhargava, P.M.; Centre for Cellular and Molecular Biology, Hyderabad, 500 007, India",,,"Kluwer Academic Publishers-Plenum Publishers",,,,,01448463,,BRPTD,3242639,"English","Biosci Rep",Article,Scopus,2-s2.0-0024238858
"Shivaji, S., Bhargava, P.M.","Antifertility factors of mammalian seminal fluid.",1987,"BioEssays","7","1",,"13","17",,18,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023373211&partnerID=40&md5=e2d8f8b16142579f67306d92ee0ab00a",,"Shivaji, S.; Bhargava, P.M.",[No abstract available],,"acrosome stabilizing factor; caltrin; glycoprotein; protein; proteinase inhibitor; female; fertility; human; isolation and purification; male; physiology; review; sperm; spermatozoon; Female; Fertility; Glycoproteins; Human; Male; Protease Inhibitors; Proteins; Semen; Sperm-Ovum Interactions; Spermatozoa",,"protein, 67254-75-5; proteinase inhibitor, 37205-61-1; acrosome stabilizing factor; caltrin; Glycoproteins; Protease Inhibitors; Proteins",,,,,"Shivaji, S.",,,,,,,,02659247,,,3307768,"English","Bioessays",Review,Scopus,2-s2.0-0023373211
